大盛豬排專門店,水源市場到正門,100台北市中正區羅斯福路四段52巷16弄15-1號,310,$$$$,日式,飯,米食 麵食,葷,有,30,"日二三四五六,1130-1400/1700-2015",curry01.png,C H
LULU Poke & Hotpot 夏威夷沙拉拌飯 & 健康小火鍋,水源市場到正門,100台北市中正區羅斯福路四段52巷16弄1號16弄1號,130,$$,美式 西式,鍋、飯,米食 鍋物,有提供素食,有,40,"日一二三四五六,1130-2100",hot01.png,C
麻辣巴蕾正宗重慶酸辣粉,水源市場到正門,100台北市中正區汀州路三段183號,120,$$,台式,麵,麵食,有提供素食,有,30,"一二三四五,1130-2130 六日,1130-2200",spicyndl.png,C
YU POKE-夏威夷生魚飯,水源市場到正門,100台北市中正區羅斯福路四段24巷12弄4號,70,$,美式 西式,飯,米食,有提供素食,有,30,"日一三四五六,1130-2030",poke.png,H
我家涼麵,水源市場到正門,100台北市中正區汀州路三段229號,70,$,台式,麵,麵食,葷,有,25,"日一三四五六,1100-2200",coldnoodle.png,H
喜禾嘉,水源市場到正門,100台北市中正區汀州路三段233號1樓,100,$,台式,飯,米食,葷,有,20,"日一二五六,1115-2200",bento.png,C H
曼德樂泰式料理,水源市場到正門,100台北市中正區汀州路三段239號,200,$$,東南亞料理,飯,米食,葷,有,25,"日一二三四五六,1130-2130",southeast.png,C H
佳興福州魚丸店,水源市場到正門,100台北市中正區汀州路三段243號,70,$,台式,麵,麵食,葷,有,25,"日一二三四五六,1100-2300",noodle.png,C H
麥當勞,水源市場到正門,100台北市中正區羅斯福路四段76-1號,100,$,美式 西式,漢堡,漢堡,葷,有,40,"日一二三四五六,0600-2400",mcdonald.png,C H
壽司郎,水源市場到正門,100台北市中正區館前路8號2樓,80,$,日式,飯、麵,米食 麵食,葷,有,50+,"日一二三四五六,1030-2230",sushiro.png,H
Bravo Burger發福廚房公館台大店,水源市場到正門,100台北市中正區羅斯福路四段44之1號2樓,220,$$$,美式 西式,漢堡,漢堡,葷,有,45,"一二三四五,1130-2130 六日,1130-2230",burger.png,C H
吉野家,水源市場到正門,100台北市中正區羅斯福路四段6號,150,$$,日式,飯,米食,葷,有,40,"日一二三四五六,0000-0400/0500-2400",yoshi.png,C H
淬煉廚房,水源市場到正門,100台北市中正區羅斯福路四段12巷3號,120,$$,西式,比薩,披薩,葷,有,25,"日二三四五六,1130-1400/1630-2100",pizza.png,C H
兩津芙蓉蛋塔-公館店,水源市場到正門,100台北市中正區羅斯福路三段316巷2號,40,$,日式,麵包,輕食,有提供素食,無,0,"日一二三四五六,1100-2000",egg.png,H
太學口糯米腸包香腸,水源市場到正門,100台北市中正區羅斯福路三段286巷18號,50,$,台式,飯,米食,葷,無,0,"日一二三四五六,1130-2400",bigbaosmall.png,C H
魯肉飯香,水源市場到正門,100台北市中正區羅斯福路三段316巷12號,60,$,台式,飯,米食,葷,有,20,"日一二三四五六,1500-2400",porkrice.png,C H
12MINI經典即享鍋,水源市場到正門,100台北市中正區羅斯福路三段316巷14號,155,$$,台式,鍋,鍋物,有提供素食,有,45,"一二三四五,1100-2230 六日,1100-2300",hot01.png,C
藍家割包,水源市場到正門,100台北市中正區羅斯福路三段316巷8弄3號,60,$,台式,輕食、飯,米食 輕食,葷,有,30,"日一二三四五六,1100-2300",guabao.png,C H
金雞園,水源市場到正門,100台北市中正區羅斯福路三段316巷8弄3號,不拘,$ $$ $$$ $$$$ $$$$$,台式,輕食、飯,米食 輕食,葷,有,20,"日一二三四五六,1000-2200",hk.png,C H
劉記川味牛肉麵,水源市場到正門,100台北市中正區羅斯福路三段316巷8弄6號,150,$$,台式,麵,麵食,葷,有,25,"一二三四五六,1200-2000",beefndl.png,C H
泰味鮮,水源市場到正門,100台北市中正區羅斯福路三段316巷8弄5號,150,$$,東南亞料理,飯、麵,米食 麵食,葷,有,30,"日一二三四五六,1130-1400/1630-2130",southeast.png,C H
金牛座牛排館,水源市場到正門,100台北市中正區羅斯福路三段316巷8弄8號,220,$$$,台式,牛排,排餐,葷,有,20,"日一二三四五六,1130-1400/1630-2145",steak.png,C H
費斯達香草洋食館,水源市場到正門,100台北市中正區羅斯福路三段316巷8弄14號,120,$$,西式,麵,麵食,葷,有,20,"日一二三四五六,1200-1430/1730-2130",pasta01.png,C H
翠薪越南餐廳,水源市場到正門,100台北市中正區羅斯福路四段24巷11號,150,$$,東南亞料理,飯、麵,米食 麵食,葷,有,30,"日一二三四五六,1120-1430/1720-2100",vietnam.png,C H
(大一女) 比司多早午餐,台大學餐,106台北市大安區舟山路280巷,20-60,$,台式,麵包、輕食,麵包 輕食,葷,有,50+,"日一二三四五六,0630-1420",bf.png,H
(大一女) 金閣屋,台大學餐,106台北市大安區舟山路280巷,70-110,$ $$,台式 韓式 西式 日式,飯、麵、水餃,米食 麵食 餃類,葷,有,50+,"日一二三四五六,1100-2000",korean.png,C H
(大一女) 桔客義式麵屋,台大學餐,106台北市大安區舟山路280巷,70-130,$ $$,西式,麵、披薩,麵食 披薩,有提供素食,有,50+,"日一二三四五六,1030-2000",pasta02.png,C H
(大一女) 華克山莊:傳統韓國料理,台大學餐,106台北市大安區舟山路280巷,70-110,$ $$,韓式,飯、麵,米食 麵食,有提供素食,有,50+,"一二三四五六,1130-2000",korean.png,C H
(大一女) 椰林燒臘,台大學餐,106台北市大安區舟山路280巷,50-100,$,港式,飯,米食,葷,有,50+,"一二三四五,1030-1930 六,1030-1430",bento.png,C H
(大一女) 吉登自助餐,台大學餐,106台北市大安區舟山路280巷,不拘,$ $$ $$$ $$$$ $$$$$,中式,飯,米食,有提供素食,有,50+,"日一二三四五六,1030-2020",bento.png,C H
(女九) 自助餐,台大學餐,106台北市大安區羅斯福路四段1號,不拘,$ $$ $$$ $$$$ $$$$$,中式,飯,米食,有提供素食,有,50+,"一二三四五,1040-1930",bento.png,C H
(女九) 滷味,台大學餐,106台北市大安區羅斯福路四段1號,不拘,$ $$ $$$ $$$$ $$$$$,台式,麵、輕食,麵食 輕食,葷,有,50+,"一二三四五,1130-1900",luway.png,C H
(女九) 早餐,台大學餐,106台北市大安區羅斯福路四段1號,12-70,$,中式 西式,麵包、輕食,麵包 輕食,有提供素食,有,50+,"一二三四五,0700-1300",bf.png,C H
(女九) 美味快餐,台大學餐,106台北市大安區羅斯福路四段1號,80-90,$,台式,飯,米食,有提供素食,有,50+,"一二三四五,1100-1900",bento.png,C H
(女九) 丼飯,台大學餐,106台北市大安區羅斯福路四段1號,65-80,$,日式,飯,米食,有提供素食,有,50+,"一二三四五,1120-1930",donburi.png,C H
(女九) 義韓式料理,台大學餐,106台北市大安區羅斯福路四段1號,70-120,$ $$,西式 韓式,飯、麵,米食 麵食,有提供素食,有,50+,"一二三四五六,1100-1930",korean.png,C H
(女九) 輕鬆吧,台大學餐,106台北市大安區羅斯福路四段1號,20-60,$,西式,糕點、輕食,糕點 輕食,有提供素食,有,50+,"一二三四五六,0900-1930",pan.png,H
(男一) 早餐吧,長興,106台北市大安區長興街50號,20-60,$,中式 西式,麵包、輕食,麵包 輕食,有提供素食,有,50+,"一二三四五六,0600-1300",bf.png,C H
(男一) Mark's Kitchen,長興,106台北市大安區長興街50號,不拘,$ $$ $$$ $$$$ $$$$$,中式,飯,米食,有提供素食,有,50+,"日一二三四五六,1100-1930",bento.png,C H
(男一) 福州乾拌麵、簡餐,長興,106台北市大安區長興街50號,25-100,$,台式,麵、水餃、輕食,麵食 餃類 輕食,有提供素食,有,50+,"日一二四五六,1100-2000",dumpling.png,C H
(男一) 趙媽媽滷味,長興,106台北市大安區長興街50號,95-115,$ $$,台式,麵、輕食,麵食 輕食,葷,有,50+,"日一二三四五,1730-2400",luway.png,C H
(男一) 武吉家,長興,106台北市大安區長興街50號,70-150,$ $$,日式,飯、麵、炸物,米食 麵食 炸物,葷,有,50+,"日一二三四五六,1030-2000",donburi.png,C H
(男一) 蔡老師蔬食,長興,106台北市大安區長興街50號,50-100,$,台式,飯,米食,有提供素食,有,50+,"日一二三四五六,1100-1930",vege.png,C H
(男一) 豬排飯,長興,106台北市大安區長興街50號,60-100,$,中式 台式,飯,米食,葷,有,30,"日一二三四五六,1100-1930",bento.png,C H
(活大) 御喜自助餐,台大學餐,106台北市大安區羅斯福路四段1號,不拘,$ $$ $$$ $$$$ $$$$$,中式,飯,米食,有提供素食,有,50+,"日一二三四五六,1100-2000",bento.png,C H
(活大) 韓風小舖,台大學餐,106台北市大安區羅斯福路四段1號,50-100,$,韓式,飯、麵,米食 麵食,有提供素食,有,50+,"一二三四五六,1100-1930",korean.png,C H
(活大) 食香園素食館,台大學餐,106台北市大安區羅斯福路四段1號,50-60,$,中式,飯,米食,全素,有,50+,"一二三四五,1100-1900",vege.png,C H
(活大) 金盃美而美,台大學餐,106台北市大安區羅斯福路四段1號,30-80,$,台式,輕食,輕食,有提供素食,有,50+,"日一二三四五六,1100-1930",bf.png,C H
(活大) 四海遊龍,台大學餐,106台北市大安區羅斯福路四段1號,15-80,$,台式,水餃,餃類,葷,有,50+,"一二三四五六,1100-1930",dumpling.png,C H
(活大) 土耳其慕法,台大學餐,106台北市大安區羅斯福路四段1號,50-90,$,中東料理,飯、麵,米食 麵食,葷,有,50+,"一二三四五,1100-1930 日,1100~1930",mdeast.png,C H
(活大) 海音brunch,台大學餐,106台北市大安區羅斯福路四段1號,10-100,$,台式 西式,麵包、飯、輕食,米食 麵包 輕食,葷,有,50+,"一二三四五,0730-1900 六,0730-1400",bf.png,C H
(活大) 麥當勞,台大學餐,106台北市大安區羅斯福路四段1號,20-200,$ $$,西式,速食,漢堡 炸物,葷,有,50+,"一二三四五六,0700-2100 日,0700-1800",mcdonald.png,C H
(活大) 里洋烘培坊,台大學餐,106台北市大安區羅斯福路四段1號,20-60,$,中式 西式,麵包、蛋糕,麵包 蛋糕,葷,無,0,"一二三四五,0800-2000 六日,1000-1900",pan.png,C H
(卓聯) 丹堤咖啡,台大學餐,106台北市大安區羅斯福路四段1號,40-200,$ $$,西式,飯、麵、甜點,米食 麵食 糕點,葷,有,25,"日一二三四五六,0700-2000",dante.png,C H
(卓聯) 肯德基kfc,台大學餐,106台北市大安區羅斯福路四段1號,20-200,$ $$,西式,速食,漢堡 炸物,葷,有,50+,"日一二三四五六,1000-2000",chicken.png,C H
(卓聯) 全家喜湯包,台大學餐,106台北市大安區羅斯福路四段1號,10-80,$,中式,水餃、點心,餃類 其他,葷,有,50+,"日一二三四五六,0900-1900",dumpling.png,C H
(卓聯) 路易莎咖啡,台大學餐,106台北市大安區羅斯福路四段1號,40-100,$,西式,輕食,輕食,有提供素食,有,30,"日一二三四五六,0800-1900",louisa.png,H
(卓聯) 品軒樓中餐廳自助餐,台大學餐,106台北市大安區羅斯福路四段1號,不拘,$ $$ $$$ $$$$ $$$$$,中式,飯,米食,有提供素食,有,50+,"日一二三四五六,1130-2100",bento.png,C H
(小福) 摩斯漢堡,台大學餐,106台北市大安區羅斯福路四段1號,30-150,$ $$,西式,速食,漢堡 炸物,葷,有,50+,"日一二三四五六,1100-1900",mos.png,C H
(小福) 比司多早午餐,台大學餐,106台北市大安區羅斯福路四段1號,20-60,$,台式,麵包、輕食,麵包 輕食,葷,有,50+,"一二三四五,0700-1900 六,0700-1400",bf.png,H
(小福) 文湯武醬,台大學餐,106台北市大安區羅斯福路四段1號,60-85,$,台式,麵,麵食,葷,有,50+,"一二三四五,1100-2000 六日,1100-1900",noodle.png,C H
(小福) All Pass,台大學餐,106台北市大安區羅斯福路四段1號,50-110,$ $$,日式 韓式,飯、麵,米食 麵食,有提供素食,有,50+,"一二三四五,1100-2000 六,1100-1900",korean.png,C H
(小福) 稻彥商號,台大學餐,106台北市大安區羅斯福路四段1號,80-100,$,日式,飯、麵,米食 麵食,葷,有,50+,"日一二三四五六,1000-2000",sushi.png,C H
(小福) hello café,台大學餐,106台北市大安區羅斯福路四段1號,40-120,$ $$,西式,輕食、飯、麵、咖啡,米食 麵食 輕食,葷,有,30,"日一二三四五六,0700-2100",cafe.png,C H
(小福) 炸雞大獅,台大學餐,106台北市大安區羅斯福路四段1號,40-120,$ $$,日式,飯、炸物,米食 炸物,葷,有,50+,"一二三四五,1100-2000 六日,1100-1900",chicken.png,C H
小木屋鬆餅,台大學餐,106台北市大安區羅斯福路四段1號,40-70,$,日式,輕食,輕食,葷,無,0,"一二三四五,0730-1900 六日,0900-1700",xiaomuwu.png,H
(二活) Subway,台大學餐,106台北市大安區羅斯福路四段85號,40-120,$ $$,西式,麵包、輕食,麵包 輕食,有提供素食,有,15,"日一二三四五六,0930-2200",subway.png,H
(二活) 魯山人和風壽喜鍋物,台大學餐,106台北市大安區羅斯福路四段85號,150-300,$$ $$$,日式,火鍋,鍋物,葷,有,30,"日一二三四五六,1100-2200",hot01.png,C
(二活) 龐德羅莎,台大學餐,106台北市大安區羅斯福路四段85號,100-300,$ $$ $$$,西式,牛排、輕食,排餐 輕食,有提供素食,有,30,"日一二三四五六,1100-2100",steak.png,C H
(二活) 莫凡彼咖啡館,台大學餐,106台北市大安區羅斯福路四段85號,100-300,$ $$ $$$,西式 日式,速食,米食 麵食 排餐 沙拉,葷,有,20,"一二三四五,0830-2200 六日,0900-2200",steak.png,C H
(二活) Lacuz泰式餐廳,台大學餐,106台北市大安區羅斯福路四段85號,150-200,$$,東南亞料理,飯、麵,米食 麵食,葷,有,30,"日一二三四五六,1100-2300",southeast.png,C H
(二活) 小蔬杭,台大學餐,106台北市大安區羅斯福路四段85號,60-150,$ $$,台式,飯、麵,米食 麵食,有提供素食,有,20,"日二三四五六,1130-2100",vege.png,C H
(小小福) 第二小吃部,台大學餐,106台北市大安區羅斯福路四段1號,30-70,$,台式,飯、麵、粥,米食 麵食,全素,有,30,"一二三四五,0730-2000",bento.png,C H
(小小福) 帕兔,台大學餐,106台北市大安區羅斯福路四段1號,40-100,$,西式,輕食、麵包、麵,輕食 麵包 麵食,有提供素食,無,0,"一二三四五,0730-2000",bf.png,C H
(小小福) 大叔韓國炸雞,台大學餐,106台北市大安區羅斯福路四段1號,50-100,$,韓式,飯,米食,葷,有,30,"一二三四五,0730-1900 六日,1000-1530",korean.png,C H
(台科大第一) 宏福鐵板牛排,台科大學餐,106台北市大安區基隆路四段43號,50-160,$ $$,西式,牛排、飯、麵,米食 麵食 排餐,葷,有,50+,"日一二三四五六,0700-2000",steak.png,C H
(台科大第一) 自助餐,台科大學餐,106台北市大安區基隆路四段43號,不拘,$ $$ $$$ $$$$ $$$$$,中式,飯,米食,有提供素食,有,50+,"日一二三四五六,0700-2000",bento.png,C H
(台科大第一) 丼太郎,台科大學餐,106台北市大安區基隆路四段43號,50-90,$,日式,飯、麵,米食 麵食,葷,有,50+,"日一二三四五六,0700-2000",donburi.png,C H
(台科大第一) 高麗元,台科大學餐,106台北市大安區基隆路四段43號,45-120,$ $$,韓式,飯,米食,葷,有,50+,"日一二三四五六,0700-2000",korean.png,C H
(台科大第一) 炸多多,台科大學餐,106台北市大安區基隆路四段43號,30-90,$,台式 港式 中式,飯、粥,米食,葷,有,50+,"日一二三四五六,0700-2000",bento.png,C H
(台科大第一) 食味溫州大餛飩,台科大學餐,106台北市大安區基隆路四段43號,45-90,$,中式,水餃、麵、飯,米食 麵食 餃類,葷,有,50+,"日一二三四五六,0700-2000",dumpling.png,C H
(台科大第一) 福客亭早餐吧,台科大學餐,106台北市大安區基隆路四段43號,25-60,$,台式,輕食、麵,麵食 輕食,有提供素食,有,50+,"日一二三四五六,0700-2000",negi.png,H
(台科大第一) 小熊廚房,台科大學餐,106台北市大安區基隆路四段43號,15-60,$,台式,麵包、炸物,麵包 炸物,葷,有,50+,"日一二三四五六,0700-2000",chicken.png,H
(台科大第一) 甘味廚房,台科大學餐,106台北市大安區基隆路四段43號,65-100,$,台式 日式 東南亞料理,飯、麵,米食 麵食,葷,有,50+,"日一二三四五六,0700-2000",bento.png,C H
(台科大第三) 稻村麵包,台科大學餐,106台北市大安區基隆路四段43號,20-60,$,西式,麵包,麵包,葷,無,0,"日一二三四五六,0600-2000",pan.png,H
(台科大第三) 八方雲集,台科大學餐,106台北市大安區基隆路四段43號,50-150,$ $$,中式,水餃、麵,麵食 餃類,有提供素食,有,50+,"日一二三四五六,0600-2000",dumpling.png,C H
(台科大第三) 雞同ㄚ講,台科大學餐,106台北市大安區基隆路四段43號,65-80,$,港式,飯,米食,葷,有,50+,"日一二三四五六,0600-2000",hk.png,C H
(台科大第三) 帝一位自助餐,台科大學餐,106台北市大安區基隆路四段43號,不拘,$ $$ $$$ $$$$ $$$$$,中式,飯,米食,有提供素食,有,50+,"日一二三四五六,0600-2000",bento.png,C H
(台科大第三) 藝素佳,台科大學餐,106台北市大安區基隆路四段43號,20-50,$,中式,飯,米食,全素,有,50+,"一二三四五,1000-1930",vege.png,C H
(台科大第三) 天津蔥抓餅,台科大學餐,106台北市大安區基隆路四段43號,25-70,$,台式,輕食、甜點,輕食 甜點,有提供素食,有,50+,"日一二三四五六,0800-2000",negi.png,H
(台科大第三) 活力讚,台科大學餐,106台北市大安區基隆路四段43號,20-70,$,台式,輕食,輕食,有提供素食,有,50+,"日一二三四五六,0600-2000",bf.png,C H
(台科大第三) 京都日式料理,台科大學餐,106台北市大安區基隆路四段43號,40-80,$,日式,飯,米食,葷,有,50+,"日一二三四五六,0600-2000",donburi.png,C H
(台科大第三) 豪享來麵店,台科大學餐,106台北市大安區基隆路四段43號,70-90,$,西式,麵,麵食,葷,有,50+,"日一二三四五六,0600-2000",pasta01.png,C H
(台科大第三) 突厥廚房,台科大學餐,106台北市大安區基隆路四段43號,45-100,$,中式 台式,飯,米食,有提供素食,有,50+,"日一二三四五六,0600-2000",bento.png,C H
Shallot 紅蔥餐館,台科大學餐,106台北市大安區基隆路三段137號,150-500,$$ $$$ $$$$,西式,飯、麵、漢堡,米食 麵食 漢堡,葷,有,30,"一二三四五六,1200-1430/1730-2100",steak.png,C H
長興小舖,長興,106台北市大安區復興南路二段362號,70-220,$ $$ $$$,台式,麵,麵食,有提供素食,有,20,"一二四五,1130-1400/1700-2000 三六,1130-1400",noodle.png,C H
長興街轉角哥,長興,106台北市大安區長興街50號,25-90,$,台式,飯、麵,米食 麵食,有提供素食,無,0,"日一二三四五六,1800-2130",noodle.png,C H
台大後餐鹹酥雞,長興,106台北市大安區長興街57號,不拘,$ $$ $$$ $$$$ $$$$$,台式,炸物,炸物,有提供素食,無,0,"日一二三四五六,1800-0100",chicken.png,C H
Living One,長興,106台北市大安區基隆路三段長興街口台大校園內明達館一樓,500-1000,$$$$$,西式,飯、麵、甜點,米食 麵食 甜點,葷,有,40,"日一三四五六,1130-1400/1700-2100",pasta01.png,C H
迦南餐廳,長興,106台北市大安區長興街92號,80-150,$ $$,中式,飯,米食,有提供素食,有,30,"一二三四五,1045-1300/1645-1900",bento.png,C H
手串本舖串燒,長興,106台北市大安區仁愛路四段8巷20號,200-500,$$ $$$ $$$$,日式,串燒,烤物,葷,有,30,"一二三四五六,1800-2330",grill.png,C H
星巴克 長興門市,長興,106台北市大安區基隆路三段85號,120-300,$$ $$$,西式 美式,甜點、輕食,甜點 輕食,有提供素食,有,40,"一二三四五,0730-1900 六日,0830-1530",starbucks.png,H
波斯菊素食坊,長興,106台北市大安區長興街50號,50-100,$,台式,飯,米食,全素,有,10,"一二三四五,1100-1400/1630-1930 六,1100-1400",vege.png,C H
