POST霞飛驛歐法點餐,溫州街,106台北市大安區新生南路三段60巷8號,150-350,$$ $$$ $$$$,西式,麵、飯,米食 麵食,葷,有,50+,"日一二四五六,1100-1430/1700-2130",pasta01.png,C H
稻咖哩,溫州街,106台北市大安區溫州街79號,180-300,$$ $$$,日式,飯,米食,葷,有,20,"日二三四五六,1700-2100",curry02.png,C
璞豆咖啡.日常,溫州街,106台北市大安區溫州街66號,280,$$$,日式 西式,排餐,排餐,葷,有,15,"日二三四五六,1200-2000",steak.png,C H
野餐咖啡,溫州街,106台北市大安區溫州街75號,130-210,$$ $$$,西式,鹹派、沙拉、司康,派 沙拉 其他,葷,有,35,"一二三四五,1300-2300 六日,1200-2300",cafe.png,H
感恩小館,溫州街,10660台北市大安區新生南路三段56巷6號,180-300,$$ $$$,西式,麵、飯,米食 麵食,葷,有,50+,"二三四五,1200-2130 六日,1130-2130",cafe.png,C H
女巫店,溫州街,106台北市大安區新生南路三段56巷7號,120-300,$$ $$$,西式,吐司,麵包,葷,有,40,"日一二三四,1000-2300 五六,1000-2400",cafe.png,C H
鳳城燒臘粵菜,溫州街,106台北市大安區新生南路三段58之3號,90-200,$ $$,中式 港式,飯、麵、河粉,米食 麵食,葷,有,50,"日一二三四五六,1100-2030",bento.png,C H
溫州大餛飩,溫州街,106台北市大安區新生南路三段54-7號,40-85,$,中式,麵、餛飩、炒手,麵食 餃類,葷,有,30,"日一二三四五六,1000-2145",noodle.png,C
大聲公 台大牛肉麵店,溫州街,106台北市大安區新生南路三段54之6號,80-200,$ $$,台式,麵、冬粉、水餃,麵食 餃類,葷,有,30,"日二三四五六,1130-1500/1700-2100",dumpling.png,C
鳳城臘味家,溫州街,106台北市大安區羅斯福路三段283巷6號,100-140,$ $$,中式 港式,飯、麵、河粉,米食 麵食,葷,有,40,"日一二三四五六,1100-1430/1630-2030",hk.png,C H
上好魚翅燕窩,溫州街,106台北市大安區新生南路三段68-1號,350-3000,$$$ $$$$ $$$$$,中式,桌菜,桌菜,葷,有,40,"日一二三四五六,1130-1400/1715-2100",fin.png,C H
爭鮮,溫州街,106台北市大安區新生南路三段88-4號,30+,$ $$ $$$ $$$$ $$$$$,日式,壽司,米食,葷,有,40,"日一二三四五六,1100-2130",sushi.png,H
麥當勞,溫州街,106台北市大安區新生南路三段88-2號,50-300,$ $$ $$$,美式 西式,漢堡、炸物,漢堡 炸物,葷,有,50+,"日一二三四五六,0000-2400",mcdonald.png,C H
公館卜乘輕食滷味,溫州街,"號, No. 106羅斯福路四段中正區台北市100",100-200,$ $$,台式,滷味,滷味,葷,無,0,"日一二三四五六,1150-2130",luway.png,C H
imperfect coffee & matcha,溫州街,106台北市大安區新生南路三段96-5號2樓,280,$$$,日式,飯糰、排餐,米食 排餐,葷,有,30,"日一二三四五六,1200-2230",tea.png,C H
七里亭,溫州街,106台北市大安區羅斯福路三段333巷8號,95-100,$,台式 中式 日式 東南亞料理,飯,米食,葷,有,30,"日一二三四五六,1100-1530/1700-2130",bento.png,C H
雪可屋,溫州街,106台北市大安區溫州街86號,50-150,$ $$,台式 西式,飯、炸物、吐司、點心,米食 炸物 麵包 點心,葷,有,40,"一二三五,1200-0100 六日,1030-2400",snow.png,C H
廣東汕頭至香園,溫州街,106台北市大安區新生南路三段86巷15號,80-200,$ $$,中式,麵,麵食,葷,有,40,"五六日一二三,1130-1400/1730-2030 四,1130-1400",spicyndl.png,C H
咖哩先生,溫州街,106台北市大安區新生南路三段70巷6號後棟（橘色外牆）,300-600,$$$ $$$$ $$$$$,中式,桌菜,桌菜,葷,有,20,"日二三四五六,1200-2100",snow.png,C H
OD Cafe,溫州街,106台北市大安區溫州街58巷2號,130-260,$$ $$$,西式 東南亞料理 南洋料理,麵、飯,米食 麵食,有提供素食,有,25,"日一二三四五六,1200-2200",pasta01.png,C H
柒食貳,溫州街,106台北市大安區溫州街72號,50-100,$,台式 東南亞料理 日式,飯,米食,葷,有,30,"日一二三四五六,1100-1515/1700-2100",bento.png,C H
左巴好室．好事,溫州街,106台北市大安區溫州街74巷1弄2號,270-420,$$$ $$$$,西式 美式,飯、麵、排餐,米食 麵食 排餐,葷,有,50+,"一二三四五,1100-2200 六日,1000-2200",steak.png,C H
Cafe Odeon,溫州街,106台北市大安區新生南路三段86巷11號,190-220,$$ $$$,西式,麵、飯、沙拉,米食 麵食 沙拉,葷,有,50+,"日一二三四五六,1400-0200",cafe.png,C H
好處 Have A Nice Day,溫州街,106台北市大安區羅斯福路三段283巷14弄30號,1200-2200,$$$$$,西式,沙拉、排餐,沙拉 排餐,葷,有,30,"日二三四五六,1100-2200",steak.png,C H
Apple Museum Cafe,溫州街,106台北市大安區溫州街74巷3弄5號,100-200,$ $$,西式,飯、麵,米食 麵食,葷,有,40,"一二三四五六,1200-2100",cafe.png,C H
麥子磨麵,溫州街,106台北市大安區羅斯福路三段283巷22號,105-150,$$,日式,麵,麵食,葷,有,40,"日一二三四五六,1130-1430/1700-2030",noodle.png,C H
Kitchen66,溫州街,106台北市大安區溫州街74巷3弄11號,160-400,$$ $$$ $$$$,美式,漢堡、披薩,漢堡 披薩,葷,有,40,"日二三四五六,1130-2100",burger.png,C H
開心農場素食店,溫州街,106台北市大安區羅斯福路三段283巷16號,35-120,$ $$,台式,麵、鍋物,麵食 鍋物,全素,有,25,"一二三四五六,1100-1400/1700-2000",hot01.png,C
有意思居酒食堂,溫州街,106台北市大安區新生南路三段86巷17號,160-600,$$ $$$ $$$$ $$$$$,日式,飯、沙拉、生魚片、烤物,米食 沙拉 烤物,葷,有,50+,"日一二三四五六,1200-1430/1730-2330",sushi.png,H
三個傻瓜蔬食印度餐廳,溫州街,106台北市大安區羅斯福路三段283巷28號,240-500,$$$ $$$$,南洋料理,飯、咖哩,米食,葷,有,20,"一二三四五,1130-1430/1730-2130 六日,1130-2130",mdeast.png,C H
沙巴巴中東美食,溫州街,106台北市大安區羅斯福路三段283巷17號,170-220,$$ $$$,中東料理,烤餅,烤餅,葷,有,40,"一二三四五,1200-1430/1700-2100 六日,1200-2100",mdeast.png,C
漁人食舖,溫州街,106台北市大安區羅斯福路三段283巷36號,180-380,$$ $$$ $$$$,日式,飯、生魚片,米食,葷,有,20,"二三四五,1700-2200 六日,1200-1430/1700-2200",sasimi.png,H
